code,label,chamber,phase,incoming,outgoing,notes
BILL_INTRODUCED,Bill introduced,Originating chamber,Introduction,,REFERRED_COMMITTEE,A measure has been formally introduced and assigned a bill number.
REFERRED_COMMITTEE,Referred to committee,Senate,Committee,BILL_INTRODUCED,COMMITTEE_HEARING|COMMITTEE_MARKUP|DISCHARGED,Committee referral sends the measure to the panel with jurisdiction before floor action.
COMMITTEE_HEARING,Committee hearing,Senate,Committee,REFERRED_COMMITTEE,COMMITTEE_MARKUP|REPORTED_COMMITTEE,The committee is gathering testimony or building a record; this is preparatory unless paired with markup or votes.
COMMITTEE_MARKUP,Committee markup/executive session,Senate,Committee,COMMITTEE_HEARING|REFERRED_COMMITTEE,REPORTED_COMMITTEE|DISCHARGED,The committee may amend and vote on whether to report the measure.
REPORTED_COMMITTEE,Reported by committee,Senate,Committee,COMMITTEE_MARKUP|COMMITTEE_HEARING,PLACED_CALENDAR|MOTION_TO_PROCEED,"The committee has sent the measure back to the chamber, usually with a report or recommendation."
DISCHARGED,Discharged from committee,Senate,Committee/Floor,REFERRED_COMMITTEE|COMMITTEE_MARKUP,PLACED_CALENDAR|MOTION_TO_PROCEED,The committee is bypassed or released from further consideration so the chamber can act.
PLACED_CALENDAR,Placed on calendar,Senate,Floor readiness,REPORTED_COMMITTEE|DISCHARGED,MOTION_TO_PROCEED,The measure is available on a calendar for possible floor consideration.
MOTION_TO_PROCEED,Motion to proceed,Senate,Floor consideration,PLACED_CALENDAR|HOUSE_MESSAGE,AMENDMENT_PENDING|CLOTURE_FILED|VOTE_SCHEDULED,The Senate is moving to take up a measure; this often signals leadership priority.
HOUSE_MESSAGE,House message received,Senate,Inter-chamber,HOUSE_PASSED,MOTION_TO_PROCEED|AMENDMENT_PENDING|CONFERENCE_REQUESTED,The Senate has received House action or papers requiring Senate disposition.
AMENDMENT_PENDING,Amendment pending,Senate,Floor amendments,MOTION_TO_PROCEED,SUBSTITUTE_AMENDMENT|AMENDMENT_TREE_FILLED|VOTE_SCHEDULED,An amendment is formally before the Senate and may shape the final text.
SUBSTITUTE_AMENDMENT,Substitute amendment pending,Senate,Floor amendments,AMENDMENT_PENDING,AMENDMENT_TREE_FILLED|VOTE_SCHEDULED|PASSED_SENATE,A substitute can replace the underlying text and become the main legislative vehicle.
AMENDMENT_TREE_FILLED,Amendment tree filled,Senate,Floor amendments,SUBSTITUTE_AMENDMENT|AMENDMENT_PENDING,CLOTURE_FILED|VOTE_SCHEDULED,"Available amendment slots are occupied, limiting further amendments absent consent or a vote."
CLOTURE_FILED,Cloture filed,Senate,Floor debate,MOTION_TO_PROCEED|AMENDMENT_TREE_FILLED,CLOTURE_INVOKED|CLOTURE_REJECTED|VOTE_SCHEDULED,Leadership has started the Rule XXII process to limit debate after the required interval.
